datetime,temperature,outside_temperature,person
2025-07-30 00:00:00,,14.4,Aconcagua
2025-07-30 01:00:00,23.6,14.2,Aconcagua
2025-07-30 02:00:00,23.6,14.0,Aconcagua
2025-07-30 03:00:00,23.6,13.5,Aconcagua
2025-07-30 04:00:00,23.5,13.7,Aconcagua
2025-07-30 05:00:00,23.4,14.4,Aconcagua
2025-07-30 06:00:00,23.4,15.9,Aconcagua
2025-07-30 07:00:00,23.4,17.3,Aconcagua
2025-07-30 08:00:00,23.45,18.7,Aconcagua
2025-07-30 09:00:00,23.5,18.9,Aconcagua
2025-07-30 10:00:00,23.5,20.4,Aconcagua
2025-07-30 11:00:00,23.5,20.9,Aconcagua
2025-07-30 12:00:00,23.55,20.9,Aconcagua
2025-07-30 13:00:00,23.6,20.6,Aconcagua
2025-07-30 14:00:00,23.65,21.7,Aconcagua
2025-07-30 15:00:00,23.7,22.9,Aconcagua
2025-07-30 16:00:00,23.65,22.3,Aconcagua
2025-07-30 17:00:00,23.6,21.3,Aconcagua
2025-07-30 18:00:00,23.5,21.0,Aconcagua
2025-07-30 19:00:00,23.4,19.3,Aconcagua
2025-07-30 20:00:00,23.45,17.6,Aconcagua
2025-07-30 21:00:00,23.5,17.9,Aconcagua
2025-07-30 22:00:00,23.55,17.5,Aconcagua
2025-07-30 23:00:00,23.6,17.1,Aconcagua
