datetime,temperature,outside_temperature,person
2025-07-30 00:00:00,,14.4,Annapurna
2025-07-30 01:00:00,17.9,14.2,Annapurna
2025-07-30 02:00:00,17.3,14.0,Annapurna
2025-07-30 03:00:00,17.2,13.5,Annapurna
2025-07-30 04:00:00,17.75,13.7,Annapurna
2025-07-30 05:00:00,18.3,14.4,Annapurna
2025-07-30 06:00:00,19.3,15.9,Annapurna
2025-07-30 07:00:00,20.1,17.3,Annapurna
2025-07-30 08:00:00,21.1,18.7,Annapurna
2025-07-30 09:00:00,21.4,18.9,Annapurna
2025-07-30 10:00:00,21.6,20.4,Annapurna
2025-07-30 11:00:00,21.8,20.9,Annapurna
2025-07-30 12:00:00,22.05,20.9,Annapurna
2025-07-30 13:00:00,22.3,20.6,Annapurna
2025-07-30 14:00:00,23.2,21.7,Annapurna
2025-07-30 15:00:00,23.4,22.9,Annapurna
2025-07-30 16:00:00,22.9,22.3,Annapurna
2025-07-30 17:00:00,23.2,21.3,Annapurna
2025-07-30 18:00:00,22.875,21.0,Annapurna
2025-07-30 19:00:00,22.55,19.3,Annapurna
2025-07-30 20:00:00,21.5,17.6,Annapurna
2025-07-30 21:00:00,20.65,17.9,Annapurna
2025-07-30 22:00:00,20.1,17.5,Annapurna
2025-07-30 23:00:00,19.8,17.1,Annapurna
