datetime,temperature,outside_temperature,person
2025-07-30 00:00:00,21.53333333333333,14.4,Everest
2025-07-30 01:00:00,22.1,14.2,Everest
2025-07-30 02:00:00,22.1,14.0,Everest
2025-07-30 03:00:00,22.1,13.5,Everest
2025-07-30 04:00:00,22.1,13.7,Everest
2025-07-30 05:00:00,22.1,14.4,Everest
2025-07-30 06:00:00,22.3,15.9,Everest
2025-07-30 07:00:00,22.5,17.3,Everest
2025-07-30 08:00:00,23.0,18.7,Everest
2025-07-30 09:00:00,22.9,18.9,Everest
2025-07-30 10:00:00,23.15,20.4,Everest
2025-07-30 11:00:00,23.4,20.9,Everest
2025-07-30 12:00:00,23.299999999999997,20.9,Everest
2025-07-30 13:00:00,23.2,20.6,Everest
2025-07-30 14:00:00,23.2,21.7,Everest
2025-07-30 15:00:00,23.2,22.9,Everest
2025-07-30 16:00:00,23.2,22.3,Everest
2025-07-30 17:00:00,23.2,21.3,Everest
2025-07-30 18:00:00,23.15,21.0,Everest
2025-07-30 19:00:00,23.1,19.3,Everest
2025-07-30 20:00:00,23.05,17.6,Everest
2025-07-30 21:00:00,23.0,17.9,Everest
2025-07-30 22:00:00,22.5,17.5,Everest
2025-07-30 23:00:00,22.7,17.1,Everest
