datetime,temperature,outside_temperature,person
2025-07-30 00:00:00,,14.4,Makalu
2025-07-30 01:00:00,23.3,14.2,Makalu
2025-07-30 02:00:00,23.3,14.0,Makalu
2025-07-30 03:00:00,23.3,13.5,Makalu
2025-07-30 04:00:00,23.25,13.7,Makalu
2025-07-30 05:00:00,23.2,14.4,Makalu
2025-07-30 06:00:00,23.299999999999997,15.9,Makalu
2025-07-30 07:00:00,23.4,17.3,Makalu
2025-07-30 08:00:00,23.45,18.7,Makalu
2025-07-30 09:00:00,23.5,18.9,Makalu
2025-07-30 10:00:00,23.65,20.4,Makalu
2025-07-30 11:00:00,23.8,20.9,Makalu
2025-07-30 12:00:00,23.85,20.9,Makalu
2025-07-30 13:00:00,23.9,20.6,Makalu
2025-07-30 14:00:00,23.9,21.7,Makalu
2025-07-30 15:00:00,23.9,22.9,Makalu
2025-07-30 16:00:00,23.85,22.3,Makalu
2025-07-30 17:00:00,23.8,21.3,Makalu
2025-07-30 18:00:00,23.740000000000002,21.0,Makalu
2025-07-30 19:00:00,23.68,19.3,Makalu
2025-07-30 20:00:00,23.62,17.6,Makalu
2025-07-30 21:00:00,23.56,17.9,Makalu
2025-07-30 22:00:00,23.5,17.5,Makalu
2025-07-30 23:00:00,23.5,17.1,Makalu
