datetime,temperature,humidity,outside_temperature,person
2025-07-02 00:00:00,24.0,44.0,20.7,Aconcagua
2025-07-02 01:00:00,23.8,44.125,18.5,Aconcagua
2025-07-02 02:00:00,23.6,44.25,17.9,Aconcagua
2025-07-02 03:00:00,23.6,44.775,18.7,Aconcagua
2025-07-02 04:00:00,23.6,45.3,18.8,Aconcagua
2025-07-02 05:00:00,23.8,45.8,21.0,Aconcagua
2025-07-02 06:00:00,24.0,46.3,24.0,Aconcagua
2025-07-02 07:00:00,24.25,46.3,26.9,Aconcagua
2025-07-02 08:00:00,24.5,46.3,29.4,Aconcagua
2025-07-02 09:00:00,24.5,46.599999999999994,32.2,Aconcagua
2025-07-02 10:00:00,24.5,46.9,33.2,Aconcagua
2025-07-02 11:00:00,24.6,47.15,34.4,Aconcagua
2025-07-02 12:00:00,24.7,47.4,35.1,Aconcagua
2025-07-02 13:00:00,24.799999999999997,48.099999999999994,36.7,Aconcagua
2025-07-02 14:00:00,24.9,48.8,37.4,Aconcagua
2025-07-02 15:00:00,25.0,49.0,36.8,Aconcagua
2025-07-02 16:00:00,25.1,49.2,37.2,Aconcagua
2025-07-02 17:00:00,25.15,49.2,36.5,Aconcagua
2025-07-02 18:00:00,25.2,49.2,35.5,Aconcagua
2025-07-02 19:00:00,25.2,49.5,33.4,Aconcagua
2025-07-02 20:00:00,25.2,49.8,30.0,Aconcagua
2025-07-02 21:00:00,25.35,50.0,30.0,Aconcagua
2025-07-02 22:00:00,25.5,50.2,28.5,Aconcagua
2025-07-02 23:00:00,25.5,50.2,27.5,Aconcagua
