datetime,temperature,humidity,outside_temperature,person
2025-07-02 00:00:00,24.6,41.9,20.7,Annapurna
2025-07-02 01:00:00,24.05,42.55,18.5,Annapurna
2025-07-02 02:00:00,23.5,43.7,17.9,Annapurna
2025-07-02 03:00:00,22.95,45.0,18.7,Annapurna
2025-07-02 04:00:00,23.25,45.675,18.8,Annapurna
2025-07-02 05:00:00,23.549999999999997,46.349999999999994,21.0,Annapurna
2025-07-02 06:00:00,24.45,46.55,24.0,Annapurna
2025-07-02 07:00:00,25.1,46.4,26.9,Annapurna
2025-07-02 08:00:00,25.35,46.45,29.4,Annapurna
2025-07-02 09:00:00,25.6,46.5,32.2,Annapurna
2025-07-02 10:00:00,25.75,46.7,33.2,Annapurna
2025-07-02 11:00:00,25.9,46.9,34.4,Annapurna
2025-07-02 12:00:00,26.25,47.125,35.1,Annapurna
2025-07-02 13:00:00,26.6,47.35,36.7,Annapurna
2025-07-02 14:00:00,27.3,46.8,37.4,Annapurna
2025-07-02 15:00:00,27.85,46.349999999999994,36.8,Annapurna
2025-07-02 16:00:00,28.075000000000003,46.125,37.2,Annapurna
2025-07-02 17:00:00,28.3,45.9,36.5,Annapurna
2025-07-02 18:00:00,28.200000000000003,43.05,35.5,Annapurna
2025-07-02 19:00:00,28.1,40.2,33.4,Annapurna
2025-07-02 20:00:00,28.0,39.45,30.0,Annapurna
2025-07-02 21:00:00,27.9,38.7,30.0,Annapurna
2025-07-02 22:00:00,27.65,39.675,28.5,Annapurna
2025-07-02 23:00:00,27.4,40.65,27.5,Annapurna
