datetime,temperature,humidity,outside_temperature,person
2025-07-02 00:00:00,23.85,41.85,20.7,Everest
2025-07-02 01:00:00,23.8,42.6,18.5,Everest
2025-07-02 02:00:00,23.75,43.35,17.9,Everest
2025-07-02 03:00:00,24.5,44.7,18.7,Everest
2025-07-02 04:00:00,24.6,45.0,18.8,Everest
2025-07-02 05:00:00,24.8,45.55,21.0,Everest
2025-07-02 06:00:00,25.0,46.1,24.0,Everest
2025-07-02 07:00:00,25.15,46.400000000000006,26.9,Everest
2025-07-02 08:00:00,25.3,46.7,29.4,Everest
2025-07-02 09:00:00,26.15,44.05,32.2,Everest
2025-07-02 10:00:00,27.266666666666666,40.7,33.2,Everest
2025-07-02 11:00:00,27.3,40.7,34.4,Everest
2025-07-02 12:00:00,27.0,41.4,35.1,Everest
2025-07-02 13:00:00,26.5,42.8,36.7,Everest
2025-07-02 14:00:00,26.4,42.8,37.4,Everest
2025-07-02 15:00:00,26.4,44.0,36.8,Everest
2025-07-02 16:00:00,26.4,45.2,37.2,Everest
2025-07-02 17:00:00,26.4,43.95,36.5,Everest
2025-07-02 18:00:00,26.4,42.7,35.5,Everest
2025-07-02 19:00:00,26.4,41.7,33.4,Everest
2025-07-02 20:00:00,26.4,40.7,30.0,Everest
2025-07-02 21:00:00,26.9,39.3,30.0,Everest
2025-07-02 22:00:00,26.9,39.3,28.5,Everest
2025-07-02 23:00:00,26.9,39.3,27.5,Everest
