datetime,temperature,humidity,outside_temperature,person
2025-07-02 00:00:00,29.4,,20.7,Kilimanjaro
2025-07-02 01:00:00,29.4,36.0,18.5,Kilimanjaro
2025-07-02 02:00:00,28.759999999999998,35.769999999999996,17.9,Kilimanjaro
2025-07-02 03:00:00,28.119999999999997,35.54,18.7,Kilimanjaro
2025-07-02 04:00:00,26.72,36.9,18.8,Kilimanjaro
2025-07-02 05:00:00,28.53333333333333,37.300000000000004,21.0,Kilimanjaro
2025-07-02 06:00:00,29.85,37.0,24.0,Kilimanjaro
2025-07-02 07:00:00,30.65,36.2,26.9,Kilimanjaro
2025-07-02 08:00:00,31.2,36.4,29.4,Kilimanjaro
2025-07-02 09:00:00,31.5,37.2,32.2,Kilimanjaro
2025-07-02 10:00:00,31.7,31.9,33.2,Kilimanjaro
2025-07-02 11:00:00,32.4,29.1,34.4,Kilimanjaro
2025-07-02 12:00:00,33.0,26.9,35.1,Kilimanjaro
2025-07-02 13:00:00,33.1,25.5,36.7,Kilimanjaro
2025-07-02 14:00:00,32.6,25.6,37.4,Kilimanjaro
2025-07-02 15:00:00,32.2,27.5,36.8,Kilimanjaro
2025-07-02 16:00:00,32.1,27.1,37.2,Kilimanjaro
2025-07-02 17:00:00,32.0,26.7,36.5,Kilimanjaro
2025-07-02 18:00:00,31.95,26.45,35.5,Kilimanjaro
2025-07-02 19:00:00,31.9,26.2,33.4,Kilimanjaro
2025-07-02 20:00:00,31.75,27.299999999999997,30.0,Kilimanjaro
2025-07-02 21:00:00,31.6,28.4,30.0,Kilimanjaro
2025-07-02 22:00:00,31.6,29.549999999999997,28.5,Kilimanjaro
2025-07-02 23:00:00,31.6,30.7,27.5,Kilimanjaro
