datetime,temperature,humidity,outside_temperature,person
2025-07-02 00:00:00,23.5,46.1,20.7,Makalu
2025-07-02 01:00:00,23.45,45.8,18.5,Makalu
2025-07-02 02:00:00,23.4,45.5,17.9,Makalu
2025-07-02 03:00:00,23.4,45.6,18.7,Makalu
2025-07-02 04:00:00,23.4,45.7,18.8,Makalu
2025-07-02 05:00:00,23.5,45.95,21.0,Makalu
2025-07-02 06:00:00,23.6,46.2,24.0,Makalu
2025-07-02 07:00:00,23.65,46.6,26.9,Makalu
2025-07-02 08:00:00,23.7,47.0,29.4,Makalu
2025-07-02 09:00:00,23.799999999999997,47.05,32.2,Makalu
2025-07-02 10:00:00,23.9,47.1,33.2,Makalu
2025-07-02 11:00:00,24.0,47.0,34.4,Makalu
2025-07-02 12:00:00,24.1,46.9,35.1,Makalu
2025-07-02 13:00:00,24.15,46.75,36.7,Makalu
2025-07-02 14:00:00,24.2,46.6,37.4,Makalu
2025-07-02 15:00:00,24.15,46.95,36.8,Makalu
2025-07-02 16:00:00,24.1,47.3,37.2,Makalu
2025-07-02 17:00:00,24.1,47.3,36.5,Makalu
2025-07-02 18:00:00,24.1,47.3,35.5,Makalu
2025-07-02 19:00:00,24.1,47.599999999999994,33.4,Makalu
2025-07-02 20:00:00,24.1,47.9,30.0,Makalu
2025-07-02 21:00:00,24.1,47.95,30.0,Makalu
2025-07-02 22:00:00,24.1,48.0,28.5,Makalu
2025-07-02 23:00:00,24.1,48.0,27.5,Makalu
