"timestamp","temperature","humidity","datetime"
1751415240556,24,44,2025-07-02 00:14:00.556
1751422398304,23.5,44.3,2025-07-02 02:13:18.304
1751422504060,23.7,44.2,2025-07-02 02:15:04.06
1751429763086,23.6,45.3,2025-07-02 04:16:03.086
1751437020178,24,46.3,2025-07-02 06:17:00.178
1751444282051,24.5,46.3,2025-07-02 08:18:02.051
1751451541150,24.5,46.9,2025-07-02 10:19:01.15
1751458801022,24.7,47.4,2025-07-02 12:20:01.022
1751466061391,24.9,48.8,2025-07-02 14:21:01.391
1751473322746,25.1,49.2,2025-07-02 16:22:02.746
1751480581802,25.2,49.2,2025-07-02 18:23:01.802
1751487841741,25.2,49.8,2025-07-02 20:24:01.741
1751495100531,25.5,50.2,2025-07-02 22:25:00.531
