"timestamp","temperature","humidity","datetime"
1753837624325,17.9,62.1,2025-07-30 01:07:04.325
1753842845564,17.3,64.3,2025-07-30 02:34:05.564
1753844885306,17.2,64.4,2025-07-30 03:08:05.306
1753852143371,17.8,64.8,2025-07-30 05:09:03.371
1753853345944,18.3,64.4,2025-07-30 05:29:05.944
1753854605338,18.8,64,2025-07-30 05:50:05.338
1753857065722,19.3,63.4,2025-07-30 06:31:05.722
1753859405129,19.6,62.5,2025-07-30 07:10:05.129
1753860485379,20.1,62.3,2025-07-30 07:28:05.379
1753862045660,20.6,62.6,2025-07-30 07:54:05.66
1753864265607,21.1,62.6,2025-07-30 08:31:05.607
1753866664734,21.4,62.3,2025-07-30 09:11:04.734
1753873924026,21.8,61,2025-07-30 11:12:04.026
1753881184213,22.3,60.2,2025-07-30 13:13:04.213
1753887064488,23.2,53.1,2025-07-30 14:51:04.488
1753888446372,23.4,52.2,2025-07-30 15:14:06.372
1753893244215,22.9,49.9,2025-07-30 16:34:04.215
1753895708266,23.2,50.3,2025-07-30 17:15:08.266
1753902963989,22.8,53.3,2025-07-30 19:16:03.989
1753905485383,22.3,53.2,2025-07-30 19:58:05.383
1753906266004,21.8,53.1,2025-07-30 20:11:06.004
1753907465771,21.2,53.5,2025-07-30 20:31:05.771
1753909445165,20.7,53.9,2025-07-30 21:04:05.165
1753910225973,20.6,54,2025-07-30 21:17:05.973
1753914124625,20.1,54.6,2025-07-30 22:22:04.625
1753917487041,19.8,55.4,2025-07-30 23:18:07.041
