"timestamp","temperature","humidity","datetime"
1751414523761,24.1,41.6,2025-07-02 00:02:03.761
1751417762910,23.6,42.1,2025-07-02 00:56:02.91
1751421782717,23.5,43,2025-07-02 02:03:02.717
1751424001238,24,43.7,2025-07-02 02:40:01.238
1751427904451,24.5,44.7,2025-07-02 03:45:04.451
1751429043656,24.6,45,2025-07-02 04:04:03.656
1751436300734,25,46.1,2025-07-02 06:05:00.734
1751443560697,25.3,46.7,2025-07-02 08:06:00.697
1751449022396,25.9,45.3,2025-07-02 09:37:02.396
1751449923078,26.4,42.8,2025-07-02 09:52:03.078
1751450824129,26.7,41.7,2025-07-02 10:07:04.129
1751451843878,27.3,40.7,2025-07-02 10:24:03.878
1751452743352,27.8,39.7,2025-07-02 10:39:03.352
1751456582679,27.3,40.7,2025-07-02 11:43:02.679
1751458083136,27,41.4,2025-07-02 12:08:03.136
1751463482385,26.5,42.8,2025-07-02 13:38:02.385
1751465343879,26.4,42.8,2025-07-02 14:09:03.879
1751472600404,26.4,45.2,2025-07-02 16:10:00.404
1751479861886,26.4,42.7,2025-07-02 18:11:01.886
1751487120867,26.4,40.7,2025-07-02 20:12:00.867
1751493122452,26.9,39.3,2025-07-02 21:52:02.452
1751494384003,26.9,39.3,2025-07-02 22:13:04.003
