"timestamp","temperature","humidity","datetime"
1753836482067,25.2,51.1,2025-07-30 00:48:02.067
1753843741501,25.1,51.6,2025-07-30 02:49:01.501
1753851001184,25.1,51.8,2025-07-30 04:50:01.184
1753858263045,25.4,49.4,2025-07-30 06:51:03.045
1753862402357,25.9,49.2,2025-07-30 08:00:02.357
1753865523319,26.1,49.3,2025-07-30 08:52:03.319
1753872793796,26.2,48.8,2025-07-30 10:53:13.796
1753880041718,26,48.8,2025-07-30 12:54:01.718
1753887302097,25.9,48,2025-07-30 14:55:02.097
1753894562064,25.8,46.9,2025-07-30 16:56:02.064
1753901821874,25.7,47.5,2025-07-30 18:57:01.874
1753909081711,25.7,47.8,2025-07-30 20:58:01.711
1753916341793,25.7,48.3,2025-07-30 22:59:01.793
