"","datetime","temperature","unix_ms"
"1",2025-07-02 00:00:00,20.7,1751414400000
"2",2025-07-02 01:00:00,18.5,1751418000000
"3",2025-07-02 02:00:00,17.9,1751421600000
"4",2025-07-02 03:00:00,18.7,1751425200000
"5",2025-07-02 04:00:00,18.8,1751428800000
"6",2025-07-02 05:00:00,21,1751432400000
"7",2025-07-02 06:00:00,24,1751436000000
"8",2025-07-02 07:00:00,26.9,1751439600000
"9",2025-07-02 08:00:00,29.4,1751443200000
"10",2025-07-02 09:00:00,32.2,1751446800000
"11",2025-07-02 10:00:00,33.2,1751450400000
"12",2025-07-02 11:00:00,34.4,1751454000000
"13",2025-07-02 12:00:00,35.1,1751457600000
"14",2025-07-02 13:00:00,36.7,1751461200000
"15",2025-07-02 14:00:00,37.4,1751464800000
"16",2025-07-02 15:00:00,36.8,1751468400000
"17",2025-07-02 16:00:00,37.2,1751472000000
"18",2025-07-02 17:00:00,36.5,1751475600000
"19",2025-07-02 18:00:00,35.5,1751479200000
"20",2025-07-02 19:00:00,33.4,1751482800000
"21",2025-07-02 20:00:00,30,1751486400000
"22",2025-07-02 21:00:00,30,1751490000000
"23",2025-07-02 22:00:00,28.5,1751493600000
"24",2025-07-02 23:00:00,27.5,1751497200000
